Request,Politeness
"Yet you did violate <url> and could be blocked right now. If that edit recurred, would you revert it again?",0
"How about this for a novel solution? The next time a banned editor posts something to your page, why not delete it yourself with an edit summary of Sorry, I'm topic-banned from discussing this?",0
"Denied. I take it then that you deny responsiblity for an account (which I'll not name here) created just four minutes after you made that edit?",0
"In short, based on the sparse information provided by outsiders, I would like to work constructively with you (and others) to whip the article into shape, as its presence seems warranted but the article is unlikely to garner necessary details from random contributors. What shall I do next?",1
"Hi. Would it be OK to move the timeline to a template, so that all the Mars-related geology pages can point to the same timeline, making updates easier?",1
"Thank you so much! I hope it's allright if I move it to my front page, at least when the talk has to be archived?",1
"No, of course I never did. So why do you keep writing about scorning others's sensitivities when such a thing was never suggested?",0
"Eight more articles semi-protected. How many of these damned T & J articles are there?",0
"# And what evidence do you have that I am committing revenge? Revenge for what?",0
"The <url> page said that <url> will be shown on the <url> subchannels 26.5 and 26.6, and also on analog channel 48. It is also expected that The U Too will displace Me Too from analog channel 48. If that's the case, then, where do you suppose Me Too will end up? What new channel in Chicago will it be shown on?",1
"Your obfuscation of the real issue is disengenuous; I'm rapidly losing respect for you. Is it not Wikipedia's mission to scornfully snub vandalism, which is done instantly, agressively, mercilessly?",0
"Yeah, thank you so much. Can anyone do that or only admins?",1
"Oh, no, sorry. Why do you want to talk to me on IRC?",0
"4. I had once felt that the Euroleague, Italian and Greek leagues were the top leagues. If I were to choose selected European leagues from this page <url>, do you have any thoughts on which ones are important?",1
"I agreed from my very first post on the first subject that it shouldn't be included yet you and the other user continued to misrepresent my position. Would you disagree with that?",0
"?????????????????",0
"Probably I would have to do quite a bit of alteration in wording. Is that O.K?",1
"So, Pasquale, you're not interested? Have you ever read <url> article?",0
"Having said that, I don't want to drive anyone away just because they can't write well. The question is, where do you begin?",0
"The image is only used on ONE page - the site of the film. What is the problem here, and how does it violate wikipedia policy?",0
"I had to revert another one <url>. How about that protection?",0
"We? Which we would this be?",0
"If she's been in a lot of porn movies, doesn't that show she is famous. Can't you undelete it and then let it go to a AfD discussion?",0
"give me your personal opinion, is an article with citations and written in a mature manner, about shart, ever going to remain without being deleted? or will i just waste my time if i make it?",0
"I tried updating it to WP:DAB style but I got reverted. Can you use your magic there and explain to the user why we should follow MOS:DP and such?",1
"While browsing wikipedia for missing pages to write i saw it on your things to do list. Assuming he's a poet, do you mean <url>?",0
"There's an interesting discussion here: <url>. Care to explain?",0
"One question - how come the page is marked as in dispute? The data that is currently posted isn't in dispute, correct?",0
"Hello, I noticed you recently did a lot of work on the ''<url>'' page. I was wondering if you know of the origin of the word Nassarius - its etymology/ what is it named after?",1
"Looks like you've been a bit inactive lately, but on the off-chance you check in soon, take a look at <url> and <url>. You're probably the most familiar with CoM's style and brand of hostility, do you think Freakshownerd here is his sock?",0
"And this is your first edit. Isn't that interesting?",0
"Hi Mike, Awadewit suggested you might be interested in a project we're running here at the British Museum over the next week - <url>. Perhaps you'd be able to help out and sign up?",1
"Look even your 3rr message says to use the talk page. What authority does the Pokemon project have over Japanese mythology?",0
"We need a visual of some kind. How's the state of your right-brain today?",0
"Yes, I'm delighted; result after a torturous few days! Um, can we add a Dali or Miro img?",1
"Hi. Is there anything I can do to help you utilize the spell check features of your browser?",1
"Oh and you seem to have deleted half of the stuff on <url> ... I presume this was a mistake?",0
"I see you've added <url> to the category Jewish-Canadians. What is your source for this?",0
"Converting <url> to a redirect without preserving either the information or sources, & without discussion was ill-advised. A bit more care in future?",0
"Done. I may have missed a few links when copying them across, so could you please look through it just in case?",1
"I thought that I should tell you that I created a new SVG version of the Wikipedia logo, located <url>. It has a few problems, could you help me with it?",1
"I must be missing something here. Would you mind clarifying for me the nature of your extensive work on <url>?",0
"So it seems we both already know the problems with the current logo and the SVG one. What can I do to help you?",1
"Hey Dan, I see you around but we haven't talked in a bit. What are you up to these days?",1
"On another note, I'm going to assume that you were the one who also added ridership data for various LIRR stations, am I correct? If so, could you kindly point me towards your source?",1
"Alistair, you have only undone the autoblock; you haven't unblocked the account yet. Could you do that, please?",1
"you need a copy, you say... by that you mean a translation, or one which has been reconstructed to meet en. wiki coding?",0
"Not that I know of, but it's probably time it was. Want to start a discussion somewhere?",1
"Serouj, you didn't reply to my message and my email. One question: if the church was built after 1700 but later ruin, for instance ruined by Beria order in 30s, can it be considered Contemporary?",0
"Actually, the page is still up, and I'm still getting a deluge of obscene phone calls and emails in an effort to punish me for constructive editing on Wikipedia consistent with Wikipedia policies and guidelines. Is <url> and <url> a policy or isn't it?",0
"Hi Fropuff. How do you convert your commutative diagrams from LaTeX to PNG?",1
"And if you use Coulson you would probably have to say According to Coulson.... Have you read <url> yet?",0
"No, Wikipedia does not consider itself (or wikis in general) as a reliable source. Surely you know such a basic policy?",0
"Btw, what's WPC MOS, and where/when was it decided that we don't use volume indicators? Why is this, and how do we distinguish between different volumes of series when mentioning issue numbers?",0
"We already list Latvia, Lithuania and Estonia separately. Along with Belarus and Ukraine, that doesn't leave much of the USSR that was occupied, does it?",0
"Just got around to this on <url>. Do you still need help or is this sorted?",1
"Picking up your challenge. You a big fan of skittles or something?",0
"You're unblocked. Do you want to discuss what the article should be named?",1
"Noticed your comments on the <url> talk page. What bands/styles are you into?",1
"Thanks for the help! That info should be on <url> in easy to read form, no?",1
"<url> reminded me of a report I want to file about Asad. May I?",1
"There was a redirect from KLPN to KTPN that was created. KLPN is the main station so why is the article called KTPN?",0
"Moved. would you like me to nominate you for adminship?",1
"At the top of my talk page, it says, If I left you a message: please answer on your talk page, as I am watching it. I think I already explained this to you. Is there a reason we cannot communicate?",0
"Why isn't <url> included there? Is it possible there's a redirect in it's place?",0
"Umm... isn't the template page itself semi-protected? If so, then shouldn't it be in the category?",0
"If the llamas of Peru spoke Spanish, and one asked the other, ''xbfCxf3mo se llama?'', would he get confused?",0
"Hey, why do you edit the standings when a game isnxb4t over??",0
"Hi -i am editing the Juan Martin article with guitar technique information,and user addhoc is deleting all my writing. Please,what do i do about this?",1
"You also say that I am participating in a high-tech lynching. Isn't that what you did when you put SamuraiClinton on RFA?",0
"Yes, that was really necessary. What's wrong with establishing uniformity in CASH articles?",0
"Nice work! Since you dug up some information on Fahnbulleh, I'm curious u2014 do you know what relation he is to Ambassador Henry Fahnbulleh, whom Tubman accused of an attempted coup?",1
"I kind of agree. Are you planning on actually editing Wikipedia, or is your whole purpose here to promote this ... study (or whatever it is)?",0
"Yes, I posted a link to the history. I was asking/thinking where you stepped into the discussion and if you were editing as an IP and that would put a different slant on your 3rr warning to Bbb23?, have you been recently editing the article was the simple question?",0
"What does this have to do with Zeitgeist? I posted on your talk page because this is no longer remotely about the article, why are you continuing to quarrel here?",0
"Don't push it, Zachary. Can you give me proof of the existence of MusicMaximum Hot 100?",0
"Yes. Need help?",1
"Email from the Darkshado guy complaining about you adding him to the spamlist. I searched the site and couldn't find any of our articles replicated there; has he removed them, or what?",0
"I reverted your change to the Pet Shop Boys article - it was kind of a bizarre change (i would have considered it the work of a vandal were it not for the seemingly valid other wikipedia work you've done). ?",0
"Good work on the canal junctions! Where appropriate, do you think we should give the nearest pedestrian access point, from the road (as opposed to canal) network?",1
"Which of course is all the more ironic as my initial edits were an attempt to ''improve'' the article per <url>. Who the hell would have predicted all this?",0
"I read the diff upside down or something... Glad someone is keeping an eye on me :) I'm mainly doing stuff over here <url> these days, what are you up to currently? Still concentrating on the Ui Imair?",1
"Corrections, make that four terms: I pick a car and swap, I pick a goat and swap, I pick a car and do not swap, I pick a goat and do not swap. Who cares about doors or door numbers?",0
"Anyway why put up with all this carelessness? Why are sockpuppets and trolls being enabled?",0
"On a more practical note: One either does or doesn't agree to take part in mediation. Which is it, please?",0
"I know, I looked it up and fixed the article, but it was annoying that you just changed one small thing making the page contradict itself. What's the use changing it if the reader will have no idea what's going on?",0
"Who???",0
"sir.. can i still write an article? do you have any facebook account?",1
"Yeah, I already noticed that. Why can't people can just edit in a responsible fashion, or through ''discussion with others''?",0
"No, I have not read it, as it is of no interest to me or this encyclopedia. Are you claiming that the references make the blog post a reliable source, or why are we still discussing this?",0
"Hi Leah, is it working again? I had some difficulties with WP in general a couple of days ago and was wondering if your issues had the same origin?",1
"Is there any consensus for these changes? If I've missed the discussion, I do apologise, but could you post me a link to where it occurred?",1
"As I have said before, it is an issue of breadth vs. depth. Are you familiar with such concepts?",0
"If a main or major purpose of your presence here is to cause drama then I would support your being indefed. Am I misunderstanding something?",0
"Noticed you've been holding the fort alone... again :) Thought I'd drop by and say hello. Surely your sanity has reached its limits by now?",1
"I have moved the page back, as well as created the new article <url>. Is that better?",1
"Thanks. Oh, and if you don't mind, would you please block the sockmaster?",1
"Hi Cmadler, I've written a new ALT hook at the <person> that I think addresses your concerns. Could you sign off on the nomination?",1
"Why did you block tanner1996 that is me I was going to choose Nascar1996 but someone else is using that name??????????",0
"Wikipedia is not the place for new information. How would we know if it was true or not if someone credible hasn't verified it?",0
"I was just reminded of my offer to generate a list of uncategorised templates, when I happened across your bot request again. Are you still interested in such a thing?",1
"I believe that an opinion about AS belongs only to article about AS (and you are welcome to cite the MS opinion ''in proper context''). However an opinion about MS belongs only to article about MS. Is not this fair and logical?",0
"I wasn't sure what you mean by making the title a clickable link. Can you show me how to do that?",1
"<url>: I am not sure how a regular spy mission gone bad had contributed to the history of cryptography. Should every spy ship, listening post, tampered cable and what not get included in the category?",0
"I don't recall any consensus on that unilateral change. Can you direct me to it, please?",1
"I didn't see your internal link, I put it back. <url> isn't orphaned, what are you talking about?",0
"I don't understand the reason for <url>. Would you please explain it to me?",1
"It does not appear to have attracted any participants other than Gerda. Perhaps adding a <person> template would draw in more participants?",1
"I don't know why claim that you reverted vandalism (rv edit summary) when to me they appeared to be good faith edits. What exactly was the vandalism?",0
"Do you mean article edits with sock puppets? Could you give me more precise examples?",1
"Well? Shall I request outside assistance?",0
"A challenge for you! What do you think about creating a template for convoys and a list of convoys?",1
"I see that you don't have an account linked to the Wikipedia email. Would you be able to send me a message so that we can talk off Wikipedia?",1
"You are correct that the science is not copyright, but the purpose of the cite is <url>. If I want to check your equation, where should I look?",1
"The file clearly states this is an image from a poster. Since when does this require any additional explanation?",0
"Mind <url>. Since when one edit after protection expiry is disruptive editing or editwarring?",0
"Double standards? Biased administrators?",0
"Why do you contend that New Atheism and Atheism 3.0 are unrelated? They are so intermingled that people have difficulty discerning which is which?",0
"Thanks. Beer?",1
"Perhaps these articles should be nominated for deletion. A blue belt is far from a notable BJJ player; Google returns 594 results for him, many of which might not even be the Barry Ley in question; and as for the Blaggers article: I don't see any articles on the higher-selling books you mention, why does this one deserve it?",0
"LordAmeth-- once again, many thanks for nominating me. I have a question, though-- I noticed that the process was scheduled to end at 16:52 today, and we're past that now...what happens next?",1
"You reverted my removal of the to critical acclaim description from this article. I cannot see where in <url> there is a basis for that claim - it looks like a neutral factual review to me?",0
"Wow, thanks for pointing that out. I'm having a bad night, and all the theading... anyway, did I get them all?",1
"(S)he seems to have violated the spirit of 3RR <url>. How do we deal with this guy?",0
"And wasting our time as well. I can only repeat: why don't you do constructive work by adding contents about your beloved Makedonia?",0
"Oh, lookee <url>: who put all the 'breakups' back with a blind revert???",0
"<url> suddenly has a bunch of new entries for today. Did you change the program?",0
"I understand ''your'' position, however I disagree with it, even regarding the spirit. <ins>Mostly because I don't see linking something as modification of the quote, therefore it's a moot point, even when coupled with bracketed additions.</ins> Perhaps we should see<ins>k</ins> comments from additional editors?",0
"You sure kill educating information. I wounder why?",0
"Just now I created this stub. Could you have a look at it, and try to improve it?",1
"Hello, I am interested in helping out with <url> and <url>, but the pages are very very long, which is unmanageable and discouraging. Could you please break them up into (many) smaller subpages?",1
"I'm not sure what you are reffering to. Could you give a link?",1
"Can I also point out that the text that you pasted into Wikipedia is entirely inappropriate for an encyclopedia article and at best will require extensive editing to conform to the<url>. Are you going to do that editing, or are you going to leave it to one of the other 'lazy' people who edit this encyclopedia?",0
"All right, I'll bite. Is honorary membership in the Justice League not criteria enough for being listed in that category?",0
"I had an editorial dispute with a user called <url><, but I'm not responding to him anymore as it seems to escalate into heated arguments. If he keeps messaging, would it be ok if I got back in touch with you and you had a word with him?",1
"Done. Comments?",0
"Pat, for someone who has died, you don't say he is a former professional baseball player, you say he was a professional baseball player. Okay?",0
"Problem is how do you recognise the categories, as there are thousands of them. I have already made a program that scans the database, and can locate the unstubbed articles, so finding the untagged stubs is ok, and AWB automatically adds the stub tag if the article is short, I just can't think how you could program it to automatically guess the type of stub, any ideas?",1
"Because Wikipedia is an encylopaedia not a free advertising and self promotion venue. Why do you keep abusing it?",0
"Thanks for putting the igneous rock template on all of those articles - it looks really useful! Do you think it should have an ultramafic section added?",1
"I'd like to try it out at FAC, after Friday. Would you be willing to co-nom?",1
"Not sure why I got <url> from you. Had I tagged it?",0
"Good job working on the list, thanks. Could you make sure you move them from To do to Done when you finish?",1
"I really think that the text you have drafted at <url> is far fuller and better than the article as currently drafted. Do you have any objection to me deleting the current text (except for the infobox which I will retain) and importing you text in its entirety?",1
"What about ''Race, Ethnicity and Migration in Modern Japan'' (Weiner 2004)? Or any of the dozens of books you can find on Google by searching Ainu+Honshu?",0
"Thanks. Anything else?",1
"Thanks for reverting that obnoxious vandalism on my talk page. How do I bring in an administrator to deal with the vandal?",0
"He used it to assert that '''''others''''' had expressed the notion that the process was concluded and that it was time to move on, and used your statement as evidence of this. Since you did not mean that it had been concluded, and since obviously you were only speaking for yourself and no one else, and participants have been continuing to post on the RfC page and its Talk Page to indicate that they do not feel this way at all, how does it serve to support the idea that they have?",0
"I had that fixed before you oranged me, I swears it! :) Are you not familiar with the technique of doubling your edit count using typos?",0
"I'm curious: how do you make those beautiful coats of arms? Do you have a script that generates them from the heraldic descriptions, or do you make them by hand?",1
"Indeed... The trolls just keep coming. Are you aware of content of the <url>?",0
"Hope you had a good trip. Are you able to take a further look now?",1
"Personal attacks and refusing to answer questions. What are you hiding?",0
"I removed that second paragraph entirely, since the information is covered in the article. Do you feel that the lead should be larger?",1
"Stole ur flag for my page. that ok?",0
"Thanks very much indeed! :-) I don't suppose you'd fancy having a deadlink trawl over at <url>, would you?",1
"thank you very much for your patience and for listening. how do you think is the best way to resolve these issues?",1
"Just one more thing: The <url>' logo was re-made as a vector image a little while ago, but the colors (especially the skin), really seem to be off. Can you fix it?",1
"hi Mustafaa I have some historical pictures and some sentences written on them which seems to be arabic. Can you tell me if it is arabic or not if i send you a copy?",1
"Not according to the history on <url>. Can you give me a link to follow, please?",1
"Nice photo! Could you help answer a question (<url>) at the Reference Desk related to the picture?",1
"Ok with you if I play white? I suck so I should go first....and, if you don't agree I will crush you like a mag.... whoa power rush..... Anyway ok with you?",0
"Calling all changes for vandalism just because you don't agree with them is NOT the way to explain why you reverts edits. May I suggest that you actually learn what vandalism actually means before you use the word?",0
"No kidding. Perhaps you could be troubled to point out the parts you consider to be actionable as 'spam'?",0
"So nearly a year later you change it all again. Why?",0
"Hi, Google found your start at a Bayt Nuba article. Do you want help?",1
"Hi! What would you like help with in particular?",1
"OK, now I see the <url>. Wouldn't it have been better to just say see talk in the edit summary so that editors don't think that you just moved it on a childish whim?",0
"Sovereignty is something a thing, in this case Japan, possesses, hence the apostrophe. So what's the problem?",0
"On a related note, I went through your recent article-work, and saw nothing wrong with your contributions. I was wondering, would you like me to grant your account <url> to make it easier to revert vandalism when you come across it?",1
"Many thanks. I can't resolve The work represents a summary of themes explored in Bacon's previous paintings, Tony's right - its clunky and unclear; any ideas?",1
"OTRS. At this point why not try?",0
"Why did you delete the article on anal stretching????",0
"Hey, I saw your article on the ''Mosambique'' in the Good New Article search results and looked at your other contributions, and I see that you do a lot on naval history. Would you be interested in helping me to expand <url>?",1
"Splendid work on <url>! Do you have a copy of that reference, or use the library's?",1
"If the deleted image only has a single character then no need to restore. Would you be against adding an image illustrating the 4 protagonist dinosaurs?",1
"I noticed that you have a little note at the top saying your status. How do you do that?",1
"re: <url> edit. Then let me ask you, what exactly was offensive about them?",0
"Hi Royalbroil, I can't seem to find a hook I entered in DYK Feb 24, it's about the novel <url>, along with suggestions from other eds. Can you find what happened to it, please?",1
"I state what I see when I read it. Are you and <url> the same editor?",0
"|} Thanks! Did you know its one week to Halloween, will you be there?",1
"OK I've created the following test page: <url>. Tell me if you have a problem with it?",1
"I saw you removed the copyright CSD from Universum University as being unclear copyright status. What am I missing?",0
"I noticed you deleted this while I was in the middle of creating it. Does the listing of it on the <url> not make it notable?",0
"I fail to see how you call copyleft selfish, but are fine with the idea of totally proprietary licenses. Wouldn't those be even more selfish, then?",0
"Hi, I have cleaned up this page and, in the AfD, identified many other sources and additional content. I wonder if you would reconsider your delete !vote please (I will do the necessary expansion as and when there is a reasonable expectation of it being kept)?",1
"Sounds good then. In this case, would it be wise to simply remove the influence field since it simply overlaps with subjects?",1
"Thanks, looks like <url> needs some fixin'. By the way, are you honestly ok with me bothering you like this?",1
"Hello, I'm with the project of turning the list <url> hat is the same list in English, but in another language, and more link for azure. I have a problem, <url>, could you help me?",1
"You just created that article - but maybe you haven't noticed there's already <url>, which covers the same character set, as the ISO followed the Thai standard. Maybe you should merge your additions there, and make TIS-620 a redirect?",0
"Thanks for improving the article. Can you add categories also?",1
"Thank you for the links and the explanation. I'd like to help with the project, what did you have in mind?",1
"Based on what? Don't you think a little discussion is in order before doing this?",0
"Anomie, thank you very much, this is a great tool. Why isn't this a Mediawiki gadget ?",1
"Are you saying that Scotty was being hot-headed? If so, can you please tell us what Scotty did that was hot-headed?",0
"I couldn't find your email user function. What's up?",0
"The same goes for our lives. Arent we effected directly by decisions made in the White House?",0
"So how come he can have all types of slandereous links on his wiki page? Don't you think being an admin you should delete them?",0
"Can you respond to the comments I left on the S&M PR page please. If you are satisfied with the changes, can you tell me if it is qualifiable for FAN and if not for FAN, then for A class status?",1
"They did and have done, on my talk page and on their talk page and most the time im not really doing anything and i always seem to get the finger pointed at me. So what do you expect me to do if someone is uncivil towards me?",0
"Oh that's charming, so instead of making a personal attack on a single editor you made it on a class of editors. Does that somehow make it more ok?",0
"You lived next to her? What did you do wrong?",0
"Re <url>: I reverted once. Shouldn't I get a cut of the proceeds?",0
"Although I have yet to understand what some of your maps mean, they are superb! Have you ever considered professional cartography?",1
"GorillaWarfare- I don't know if you saw my reply on my talk page. Are you interested in being my mentor for the GU De-Ba'athification article?",1
"ww - hey, good work on the new pages that you've added in the last couple of days (5-6 isn't it?). I add them to <url> when I notice them, but I'm not sure that I catch them all; I don't suppose you could add them to the list on creation?",1
"pls see my comments on your revert on the talk page. Perhaps you'll consider undoing my revert?",1
"Wikipedia is anything '''but''' formal, many characters real or fictional don't get referred by their full names all the time. Besides, who else on wikipedia thinks OOO is awkward?",0
"Yes, but not this week as I have university exams. Perhaps next week (or you want this to be a lead-up story for Earth Day)?",1
"He's taken the notice down. Doesn't this count as belaboring the point?",0
"You said: I am just upset that you are harassing a person who seems to be trying to better himself and his relationship with fellow wikipedians. First, I'm harrassing no-one, and it would be better if you didn't make such accusations. Secondly, what evidence do you see that SS is trying to do anything of the kind?",0
"<url> posted a wonderful grammatical analysis of the has/had thing, another editor agreed, so I'm thinking we should make another request for the change, using Bluewave's post as the basis. What do you think?",1
"Note: Kurt's talk page almost certainly isn't a good place to seek a broad or unbiased consensus on this question, nor is it the appropriate venue in which to request an exemption from a ban &mdash; and in all honesty, I'm not sure that managing such an exemption for the purpose of posting gags would be a constructive use of anyone's time. Perhaps it would be best to save the jokes for a time when you're once again allowed to edit in the WP namespace, or post whatever jokes you wish (within reason) in your own user space?",0
"Why delete the page <url> with no explanation, as an act of deliberate vandalism? Why did you do it?",0
"Hey, thanks for your contributions here :). Would you mind referencing them to conform with wiki-policy?",1
"I've never seen something go beyond AN/I myself, and I find it hard to believe the other two hadn't been tried by now. Or is it a case-by-case thing?",0
"Have a look at the edit to <url>. Is this page even a dab?",0
"I am good at that ;-). You know about the new Oversight priv?",1
"You seemed, to me, to be addressing all of us who were opposed to your merger. Do you know a different meaning for oddwater other than urine?",0
"The deletion review page linked above contains all the instructions for requesting a review. Why did you not read these instructions?",0
"Instead of deletion, I'm considering simply redirecting Ponystars to <url>. Any objections?",1
"Interesting illustration on the PrIze law page of a Zeppelin taking a Norwegian vessel as a prize in 1917. I wonder whether you could point me to a source for more information on this incident?",1
"Your comment about the additions were left intact as a courtesy sounds a bit strange to me. Maybe you should read <url>?",0
"Hi, Wereon - I'm afraid I'm rather amateur at nominating articles for deletion. Where do I start?",1
"Otherwise, very nice article. Are you going to submit it to DYK?",1
"To be honest, I'm not sure - the decision say remove individuals and organizations but it also said per BLP and Abascal is deceased. Perhaps you should ask Timrollpickering, the admin who closed the discussion, to clarify?",1
"You're welcome. Do you have an opinion as to whether they would be worth adding to <url>?",1
"Thanks. As for the previous edits, should I make a note on the User Page that it's my account?",1
"Hi. The original link (http://www.lgso.org.uk/index.htm) gives a 404 error, but the amended URL (http://www.lgso.org.uk/) works for me, so why do you say it's still dead?",0
"Hello. I was just wondering, is it really fair to delete an unintentional duplication of a deleted category without a formal CFD submission?",1
"ED, eh? Have they tried Viagra?",0
"Good work maintaining the Tibet page i seems to getting an increasing amount of traffic!!! Is our Chinese friend still persisting?",1
"I'm not sure how I feel about you adding coordinates to locations all over the place, but rather than get into that, let's start with something easy: <url> does not equal <url>. Do you need me to explain why, or was that just a typo?",0
"Can I use a manga image colored by myself? There won't be any problems with the lisense, right?",1
"Many thanks. I'm afraid I don't know the reel - is it played in your part or the world?",1
"Thanks, I didn't notice the earlier discussion. Would you consider (if you haven't done so yet) adding some indication on either page that these are the same user?",1
"I just put a table in for the novel villains (to put the novels and films on the same level), but it's kind of messed up (I know presscious little about tables on Wikipedia). Could you please help me fix it?",1
"I'm in Outer Mongolia from the 27th till the 10th, UB, Hovsgol, UB. Maybe we can meet?",1
"The section starting with '''a philosophical defeat, etc''' is somewhat informal in style. Could you try to eliminate solecisms when you get a chance?",1
"Hey, I found <url> and at around 1:10, I think I can see the Backstreet Boys holding platinum discs (or double platinum, I'm not sure) for Backstreet's Back and Millennium. Can you please verify and is it possible to use this as a source for adding South African certifications?",1
"you recently deleted <url>. can you tell me where is the AfD debate on that article?",0
"I was looking for some help with editing portals, I've read up on some stuff but still don't quite understand. Do you think you could help me?",1
"I've been trying to convince this user that his only problem is his username, but he doesn't seem to fully believe it. Would you mind popping over and giving a word or two of encouragement?",1
"How come no one will answer this question!??",0
"Nice pie chart for mobile phone contractor %'s during 3rd quarter 2008. Was just wondering though which country the chart represents as I think perhaps this should be mentioned?",1
"Good advice from Garion96 there. Would you please come to the talk page of the template and voice your opinion?",1
"Hello, Jeff79. Would you weigh in on the above linked discussion regarding an edit you made?",1
"Indeed. I trust you have already watchlisted this editor?",1
"So you exchanged my suggestion with an ''expired'' nomination... Right?",0
"If the community decides that you no longer speak on its behalf--if the Wikipedia community decides that this supposed ban does not apply to constructive comments on AfDs on articles for which I am a major contributor, and that I may make such comments without asking for permission beforehand--who are you or anyone else to override that decision? I'm not saying that anyone has or will make that decision--but if that decision is made, are you claiming that you are entitled to do what you want regardless of community consensus to the contrary?",0
"No other encyclopedia deals with these charges in their entries on Reagan; encyclopedias have higher standards than supermarket tabloids and Kitty Kelley. On that note, why not post the content you want in the <url> article instead?",0
"An IP is complaining that I'm violating policy by removing unlinked nonnotable band members from the notable natives and residents section of <url>. Can you help me please?",1
"Delete, who cares. If we're going to delete every fair use image that ''has'' a sufficient rationale, why not change to German Wikipedia image policy already?",0
"I noticed that the A team article for Australia is at <url> instead of <url>. Is that intentional, or something we should fix with a page move?",1
"Those of us who've been here the whole time are pretty incredulous about it also. :) We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",1
"Could you please check over the article of <url>. I edited a couple of things and added a few images..could you reply your opinion please?",1
"Hello Roman! If you have time, could you add a <url> infobox (with census data) for <url>?",1
"How many times do I have to revert you before you stop? Do you want to get blocked?",0
"Could you please clarify who the new users were exactly that you considered to be part of your 'sock farm'? Or did you not even bother to research before making such claims?",0
"In your most recent edit to <url> you stated that the track in Clermont, Florida does not fulfill IAAF regulations (since reverted by another editor). On what grounds does it not and do you have a source for that remark?",0
"Why tag for deletion? It was obviously a new user's attempt at creating a disambiguation page, why not clean it up?",0
"Sorry to bother you but theres a report on <url> regarding <url> which has been a target for IP vandalism. I'm only asking directly because the vandalism is continuing and I'm close to not being able to fight it anymore under policy so can I ask if you could please issue the protection and revert the IP's vandalism back to my last revision?",1
"Unless you provide a wikipedia article, with solid references od proof of notability of the term, I am going to delist it. I ave no doubts that there was a dilike of Portugals (like any other major nation), but was this word in notable circulation?",0
"However, as you can see, I provided citation for my edit. Will you revert THAT and accuse me of vandalizing?",0
"Lowell/Lawrence Blvd leading from Lowell to the Methuen Rotary is a device from hell as well. How many people does that short stretch of road have to kill?",0
"Thanks for your edits to the LEMS article a couple of days back. Any hope of you reviewing it for GAC?",1
"Why did you erase the <url> page? I was working on that article, and his notability is not disputed?",0
"Please see <url>. Can you help?",1
"Yeah I have. Yes I know that; you saying I'm a malicious admin?",0
"My job. Do you have any specific points to address?",0
"I do not, nor have I ever used other accounts on Wikipedia. Didn't you ask me this before?",0
"(sorry for delayed response) I think it would be difficult to intergrate them, my program would probably work more easily from a list of articles with typos generated from the database, with the spelling correction code built in to the program. While on the subject, are you planning on running Humanbot again soon?",1
"Thanks for your advice on my problems with categories. Perhaps someone should change the instructions?",1
"The answer is one citation per city. Information must always be verifiable; without verifiable sources for say, Unna, how exactly are we to tell that the article is accurate?",0
"Sorry, but i do not find double torpedo tunnels to be very good. Can you come up with something better?",0
"now???",0
"Just letting you know (since you have mentioned AFDing <url>) that weu2019ve gone to some effort to establish notability with <url>, and have added three reliable, notable, third-party sources to the article. Do you feel these sources establish <url> as being notable (<url> and all that)?",1
"On the third reading... Why not include an edit summary that tells me this? Why not revert my revert?",0
"Nice to see you editing in article space! We have been chipping away at your compiled OBI list - can you believe it's almost done?",1
"Why you undid mi edition????",0
"Since your last warning to BigBang19, he's continued to vandalize the ''Punk'd'' article, undoing the grammatical corrections I made some time ago, and inserting irrelevant, non-noteworthy material about Kuthcer's observence of Jewish holidays and his marriage to Demi Moore. Can someone block this person for a period of more than just 24 hours so that he gets the message?",0
"Re: <url>: if it's eligible for Did You Know, it's by definition not a stub. Cool?",0
"Good! By the way, what do you think of merging the recurring animals in <url> to <url> and then getting rid of the rest?",1
"I see you've done a lot of work on hospital-related articles, especially in Oregon. Perhaps you'd like to join us in improving the articles for hospitals in Oregon?",1
"Thanks for the quick response. Would you have any suggestions on editors who would be interested in this field, or who might have experience with FA reviews?",1
"Please see <url>. Could you help with the list on the talk page?",1
"Thank you. It's a strange hobby, isn't it?",1
"I have posted a question at <url> which you may be able to answer. Can you please return to that discussion to answer it?",1
"I hate to roll back 26 edits in a row, but I see a lot of good stuff, a lot of questionable and non-NPOV stuff, not much (if anything) in the way of citation, and a ton of misspellings. Can we discuss these edits before imposing them, please?",1
"Why, precisely? And what separates the etiquette of your area of society from our conventional etiquette speed-developed on the Internet?",0
"Making edits vanish without a trace would be ''extremely'' difficult to do u2013 only full <url> could do that, and I can assure you the oversighters wouldn't do such a thing just to allow somebody to cover their tracks. Maybe you are mis-remembering something, about edits that were in fact on some other page?",0
"Can I ask why you deleted this AfD as A3: Article has no meaningful, substantive content? It obviously did have meaningful content; was there any reason it couldn't simply be closed like any other AfD?",0
"The YA article is a right trainwreck, and having had to do much of the exact same work on <url> and <url>, I'm not keen to do it again a third time on <url>, and then defend three separate articles from identical POV pushes. Thoughts?",0
"He's still got the youtube link on there even after your reversion. How does once vs. 25 times or so make any difference?",0
"Hi old friend! Would you mind unprotecting my user/talkpages please?",1
"Congratulations! You are the winner of <url> Round 10. Would you like to prepare the questions for the next Wikifun?",1
